,exhibitorid,Name,MainCategories,Cluster,Cluster_Theme
0,90556,Turkey Travels,resort hotel,7,Diverse Tourism Options
1,90556,Turkey Travels,inbound tour operator,3,Tour Operator Diversity
2,90556,Turkey Travels,outbound tour operator,3,Tour Operator Diversity
3,92462,Russian Travel Company,apartments/residential hotel,11,Accommodation Types
4,92462,Russian Travel Company,mass market tour operators,3,Tour Operator Diversity
5,92462,Russian Travel Company,independent travel agency,15,Travel Services
7,92462,Russian Travel Company,other transport services,2,Transport and Payments
8,92462,Russian Travel Company,services and facilities,9,Helicopter Services
9,92491,Indian Travel Company,apartments/residential hotel,11,Accommodation Types
10,92491,Indian Travel Company,hostel/motel,11,Accommodation Types
11,92491,Indian Travel Company,outbound tour operator,3,Tour Operator Diversity
12,92492,Asia Tourism,hotel/hotel chain/inn,10,Hospitality Services
13,92492,Asia Tourism,resort hotel,7,Diverse Tourism Options
14,92492,Asia Tourism,industrial tourism,8,Tourism Specialties
15,92492,Asia Tourism,online media,1,Media Innovations
16,92493,SriLanka Adventures,transfer services,2,Transport and Payments
17,92493,SriLanka Adventures,cultural heritage site,13,Cultural Institutions
18,92493,SriLanka Adventures,industrial tourism,8,Tourism Specialties
19,92494,Exotic Europe Travels,hostel/motel,11,Accommodation Types
20,92494,Exotic Europe Travels,management company,4,Financial Services
21,92494,Exotic Europe Travels,inbound tour operator,3,Tour Operator Diversity
22,92494,Exotic Europe Travels,search engine for travel/aggregator,16,Travel Booking Solutions
23,92495,Luxury Europe Company,boarding house,-1,Event Management
24,92495,Luxury Europe Company,cruise tour operators,3,Tour Operator Diversity
25,92495,Luxury Europe Company,other transport services,2,Transport and Payments
26,92495,Luxury Europe Company,nto: national tourism office,0,Tourism Offices
27,92495,Luxury Europe Company,cleaning,13,Cultural Institutions
28,92496,DreamTravel Company ,management company,4,Financial Services
29,92496,DreamTravel Company ,specialized tour operator,3,Tour Operator Diversity
30,92496,DreamTravel Company ,helicopter services,9,Helicopter Services
31,92496,DreamTravel Company ,other transport services,2,Transport and Payments
32,92497,Happy Company 2,boarding house,-1,Event Management
33,92497,Happy Company 2,resort hotel,7,Diverse Tourism Options
34,92497,Happy Company 2,campervans and caravans,12,Recreational Vehicles
35,92497,Happy Company 2,vr and ar,1,Media Innovations
36,92497,Happy Company 2,smart home technology,12,Recreational Vehicles
38,68142,Global Tours Voyages,other services in the sphere of business tourism,8,Tourism Specialties
39,68142,Global Tours Voyages,mice and event management,-1,Event Management
41,68142,Global Tours Voyages,religious tourism,7,Diverse Tourism Options
46,68142,Global Tours Voyages,regional tourism office,0,Tourism Offices
47,27827,Exotic Tours Holidays,other type of specialized tourism,8,Tourism Specialties
48,27827,Exotic Tours Holidays,tic: travel information centre,0,Tourism Offices
50,74870,Exotic Tours Journeys,independent travel agency,15,Travel Services
51,74870,Exotic Tours Journeys,hotel equipment and service suppliers,10,Hospitality Services
52,74870,Exotic Tours Journeys,authorized travel agency,15,Travel Services
54,74870,Exotic Tours Journeys,insurance company,4,Financial Services
55,74870,Exotic Tours Journeys,print media,1,Media Innovations
57,56923,Royal Tours Expeditions,data analytics and personalization,0,Tourism Offices
58,56923,Royal Tours Expeditions,tourist board/government/nto,0,Tourism Offices
59,80700,Exotic Holidays Services,gastro tourism,8,Tourism Specialties
60,46350,Prime Travel Journeys,vr and ar,1,Media Innovations
65,55311,Sunny Adventures Journeys,mobile homes and glampings,12,Recreational Vehicles
66,55311,Sunny Adventures Journeys,motorhomes and caravans,12,Recreational Vehicles
67,55311,Sunny Adventures Journeys,it solutions for travel industry,15,Travel Services
